vendor,keywords,start_keywords,end_keywords,structural_chunk
BOA,"bank of america;bankofamerica;boa;merrill lynch","","ending balance;total deposits;total withdrawals",2
CHASE,"chase.com;jp morgan;jpmorgan;chase bank;chase credit card;chase sapphire;chase freedom","","ending balance;deposits and credits",2
WELLS,"wells fargo;wellsfargo;wf bank","","ending balance;total deposits;total withdrawals",2
USAA,"usaa;usaa federal savings bank;usaa.com","","ending balance;deposits;withdrawals",5
UFCU,"ufcu;u f c u;u.f.c.u;university federal credit union;po box 9350;austin texas 78766","","ytd tax summary;year-to-date information for tax purposes;ncua",5
FIRSTNATIONAL,"first national bank;firstnationaltx;firstnationaltx.com;fnb;member fdic;equal housing lender;1-800-555-0199","opening balance","closing balance;total credits;total debits",2
CITI,"citibank;citi card;citi.com;citicards","","new balance;payment due;closing date",2
CAPONE,"capital one;capitalone.com;cap one","","new balance;payment due;closing date",2
AMEX,"american express;americanexpress;amex;americanexpress.com;p.o. box 650448;blue cash;membership rewards","closing date","interest charge calculation;days in billing period",4
BARCLAYS,"barclays;aviator mastercard;aadvantage aviator;barclaycard;barclays.com;po box 60517","","interest charge calculation;days in billing period;miles details",3
DISCOVER,"discover;discover card;discover bank;discover.com","","new balance;payment due;closing date",2
PAYPAL,"paypal;pp credit;paypal credit;paypal.com","","new balance;payment due;closing date",1
AMAZON,"amazon card;amazon visa","","new balance;payment due;closing date",1
ATT,"at&t;att.com;att wireless;at&t mobility","","total amount due;summary of charges",4
SPECTRUM,"spectrum;charter communications;spectrum.net","","amount due;service period",1
SAWS,"san antonio water system;saws.org;saws","","mailing address change;choose a bill payment;customer service locations",2
CPS,"cps energy;cpsenergy.com;city public service","","amount due;total due;billing summary",2
COMED,"comed;electric service;commonwealth edison","","total amount due;billing summary",2
VERIZON,"verizon;verizon wireless;vzw;verizon.com","","total amount due;account summary",3
TMOBILE,"t-mobile;tmobile;t mobile;t-mobile.com","","total amount due;account summary",2
TIGER,"tiger sanitation;tiger disposal","","amount due;taxes;invoice#:",2
UPS,"ups;united parcel service;ups.com","","tracking summary;billing summary;charges",1
FEDEX,"fedex;federal express;fedex.com","","charges;billing summary;invoice total",1
GMAIL,"gmail;craigtx.com","","gmail.com",1
MISC,"","","",1
